ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
639,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,JavaScript,Other language? Please specify below.",PHP,Prefer not to say
640,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,10,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"C#,JavaScript",,10+ years
641,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript,Other language? Please specify below.",PHP,10+ years
642,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Disagree,,Agree,,Strongly Agree,,,Slightly Strict,,"C++,Java,C,C#,Other language? Please specify below.",Kotlin,10+ years
643,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,5,Method names should be short but descriptive. They should convey what it does and nothing more.,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Java,C#,JavaScript",,10+ years
644,Strongly Agree,,Disagree,"it's not always should contain verb phrase, for example in ruby you don't tell ruby to do something with a verb, you ask for the thing by mentioning the name in noun.",Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Agree,,"none, naming is hard enough as it is, so as long as it's acceptable within the company/community it's should be okay. Also always use linter / static analysis checker",Strict,,"C,JavaScript,Other language? Please specify below.","Ruby
Go
Rust",10+ years
645,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"Python,Java,C",,5 - 9 years
646,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,10+ years
647,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"C#,JavaScript,Other language? Please specify below.",COBOL,10+ years
648,Agree,those that are shown not to follow the standard my follow a different standard.,Agree,"verbs for methods, nouns for attributes, adverbs for decoratorss, adjectives for metaclasses....",Agree,sometimes obfuscation protects things from being used though.,Strongly Agree,,Agree,programmer-specific mini domain languages should be echewed.,5,this seems to be two different questions in one.,Strongly Agree,,Agree,seems this question is written vaguely:  managedresourceregister is clear when the last word is interpreted and intended as a noun.,Agree,"these are modern standards, but sometimes community guidelines create heirarchies so no one touches functions they don't understand.",Agree,,complex method names such as the preceding (but yet commonly seen in source) show a lack of proper software architecture and too much overengineering.,Slightly Strict,Zen Code on hackerspaces.org,"C++,Python,C,Other language? Please specify below.","BASIC, LISP, VAX ASM.",10+ years
649,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,JavaScript,,3 - 4 years
650,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"Java,C,JavaScript",,10+ years
651,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
652,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,8,,Disagree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C,C#,JavaScript",,10+ years
653,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,I would prefer no abbreviations,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,I try to adhere to these standards but my team doesn't seem to care.,"C#,JavaScript,Other language? Please specify below.",Typescript,10+ years
654,Strongly Agree,,Agree,"In some rare cases, i disagree, but the name still has to carry a clear message about what the function does",Strongly Agree,,Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,"Snakz case, name in english, sensible name, name should contain a verb (rules for C language only, in my school)","C++,Python,C",,3 - 4 years
655,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Kotlin, swift",10+ years
656,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"Abbreviations should be avoided if possible, most editors/ides helps reduce keystrokes anyway",,,5,Shorter is usually better as long as its clear what the method does,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,We try to follw the dot net framework design guidelines,"C#,JavaScript,Other language? Please specify below.",TSQL,10+ years
657,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Go, Erlang, Common Lisp, Clojure",5 - 9 years
658,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,2,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript",,10+ years
659,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,"Java,C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
660,Strongly Agree,,Agree,"Sometimes I like to make methods for transforming object attributes like ""amount_in_dollars""",Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,"In javascript we always use camel case, while in ruby we always use snake case. We try to keep our method names verbose and self descriptive and in a verb structure. ","Python,JavaScript,Other language? Please specify below.",Ruby,5 - 9 years
661,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Agree,,Agree,,,No Standards,,"Python,Java,C,JavaScript,Other language? Please specify below.","Scala
Lisp
Rust",10+ years
662,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript",,5 - 9 years
663,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript,Other language? Please specify below.",PHP ,10+ years
664,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Ruby, scala, elixir, Clojure, Pascal, vb",10+ years
665,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Not Strict,,"Python,C,JavaScript,Other language? Please specify below.",Elixir,5 - 9 years
666,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"Python,C,Other language? Please specify below.",go,10+ years
667,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,10+ years
668,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,getProtoNameNode could be acceptable if the context implies it means Prorotype e.g. if the code already has existing function names consistently using Proto,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,,,"C++,Python,Java,C,C#,JavaScript",,3 - 4 years
669,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,5,,Disagree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,C#,JavaScript",,10+ years
670,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Agree,Your examples need some tweaking here,Agree,,,Slightly Strict,,"C++,Python,C,C#",,10+ years
671,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,"I enforce method names to have a suffix that matches the return type, e.g. getFirstDate() vs. getFirst()",Very Strict,,"Java,JavaScript",,10+ years
672,Strongly Agree,,Disagree,,Disagree,portmanteaus are your friend! (e.g. get_panalyzer_dict()),Agree,,Agree,"As long as the acronym is clear in the context of the code, non-standard acronyms are fine",5,,Disagree,,Disagree,,Agree,,Agree,,Inner classes and lambda functions can have shorthand dames like f(),No Standards,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Fortran, Pascal, Ada, TypeScript, Flex, R",10+ years
673,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,15,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Disagree,,This survey doesn’t approach the true controversies of naming conventions. Things Ike what to do if a library contradicts another’s naming convention? Wrapper or just use it as is? What about properties vs setter/getters?,Strict,No thanks,"C++,Python,Java,C,C#,JavaScript",,10+ years
674,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Disagree,,Agree,,Strongly Agree,,Disagree,,,Strict,,"C++,Java,C,JavaScript",,5 - 9 years
675,Strongly Agree,,Disagree,,Disagree,,Disagree,,Disagree,,4,,Disagree,,Agree,,Agree,,Disagree,,,No Standards,,Other language? Please specify below.,Go,10+ years
676,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,3,,Strongly Disagree,,Disagree,,Disagree,,Disagree,,,Not Strict,,"Python,C,Other language? Please specify below.","Clojure, Go, Rust",10+ years
677,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,PEP 8,No Standards,,"Python,JavaScript",,5 - 9 years
678,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Disagree,,Disagree,,Strongly Agree,,Disagree,,,Not Strict,,"Java,JavaScript,Other language? Please specify below.","Kotlin
Ruby",5 - 9 years
679,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,These should be common sense but apparently not!,Strict,,"Java,Other language? Please specify below.",Go,5 - 9 years
680,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,C#",,10+ years
681,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Agree,Don't abbreviate at all most of the time,Strongly Agree,,15,15 is probably a lot in most cases. But use as many as needed to clearly describe the methods,Agree,,Agree,Depends on the language and the scoping rules ,Strongly Agree,,Agree,,,Slightly Strict,,"C++,C,JavaScript,Other language? Please specify below.","Ruby
Lua
Haskell",10+ years
682,Strongly Agree,,Disagree,,Agree,,Agree,,Agree,,15,,Disagree,,Disagree,,Agree,,Agree,,,Slightly Strict,"Not formal, but if your peers don’t understand try a different method name ","Python,Java,C,C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
683,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,8,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,C#,JavaScript",,10+ years
684,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C,C#,JavaScript",,5 - 9 years
685,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"I usually even try to avoid abbreviations, I don't care if a function name is long, if it's explicit enough you won't even need documentation ",Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,We follow the kotlin convention guidelines and do code review to make sure it makes sense for everyone ,"Java,Other language? Please specify below.",Kotlin ,3 - 4 years
686,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,"I disregard this when naming unit tests, and instead make them as long as necessary",Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"Internal consistency is important. For instance, don't mix and match ""get_"" and ""retreive_"" within a single codebase.",No Standards,,"Python,Java,C,C#,JavaScript,Other language? Please specify below.","Typescript, Rust",10+ years
687,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,8,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,No Standards,,"C++,Java,C,JavaScript,Other language? Please specify below.","Perl, Groovy, PHP",10+ years
688,Disagree,"Or, l just `.FullName()`",Agree,,Agree,,Strongly Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,Other language? Please specify below.,Go,3 - 4 years
689,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,10,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C#,JavaScript,Other language? Please specify below.","Delphi
",10+ years
690,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,7,,Disagree,,Disagree,,Strongly Agree,,Disagree,,,Not Strict,,"Python,C#,Other language? Please specify below.","Go, ruby",10+ years
691,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,10,,Agree,,Agree,,Agree,,Disagree,,,Strict,,"Java,C#",,10+ years
692,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,For tests methods we use whenXXXThenYYYY(). Always.,Slightly Strict,,"Java,JavaScript",,10+ years
693,Strongly Agree,,Agree,,Disagree,,Strongly Agree,,Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
694,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"JavaScript,Other language? Please specify below.",PHP,10+ years
695,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,Methods should be named in English ,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
696,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript",,10+ years
697,Strongly Agree,,Disagree,,Strongly Disagree,,Disagree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript,Other language? Please specify below.","Swift
Objective-C
Kotlin
Typescript",10+ years
698,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"Java,JavaScript",,5 - 9 years
699,Strongly Agree,,Agree,,Agree,,Disagree,,Disagree,,6,,Agree,,Disagree,,Agree,,Disagree,,,Strict,,"Python,Java,C,C#,JavaScript",,5 - 9 years
700,Strongly Agree,,Disagree,The action of “get” is implied in the name “cached_node”,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,Should be as long as is necessary to describe what the method does in the happy path ,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,Ruby community style guide ,"Java,JavaScript,Other language? Please specify below.",Ruby,5 - 9 years
701,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,Camel case with descriptive method names,"C,JavaScript,Other language? Please specify below.","Swift, Objective-C, Perl and PHP",10+ years
702,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,7,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,"It is common practice to have the ""vendor"" name in the namespace in PHP",,No Standards,,Other language? Please specify below.,PHP,10+ years
703,Strongly Agree,,Agree,,Disagree,,Agree,,Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,Other language? Please specify below.","Rust, groovy, bash, obj-c, asm",10+ years
704,Agree,Pascal case is preferred,Agree,,Strongly Agree,,Strongly Disagree,No abbreviations at all.,Disagree,"No abbreviations should be used, unless the abbreviation has become a word. Like TCP; Or would be non-sensical large, as with ASCII.",8,,Strongly Agree,,Strongly Agree,,Strongly Agree,"The example contains ""db"", which is not a full word. Bad example.",Strongly Agree,,,Strict,C# common standards for the most part.,"C++,C,C#,JavaScript,Other language? Please specify below.",PHP,10+ years
705,Strongly Agree,,Strongly Agree,"Possible exception may be methods that set values in a fluent builder, where I tend to avoid the ""set"" in the method name",Strongly Agree,,Agree,"I agree with the satement, but I would default to not abbreviating at all",Strongly Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"Public methods should have comparatively shorter names, unless it makes them non intuitive. Private methods should have names as long as it's needed for them to be descriptive",No Standards,"CamelCase; ""is"" before a boolean getter i.e.: isValid(); find for database queries; fetch/get for http GET calls; http method name before a method/function that performs that call i.e: postUser(), putUser(); avoid ""set"" on builders, i.e: builder.attribute1(param).attribute2(param).build(); ""to"" prefix on formatter methods, i.e: toXML(), toJSON(); ""mapTo"" or ""as"" prefix for methods that turn one data type into another, i.e: mapToInvoice(shoppingCart)","Java,JavaScript,Other language? Please specify below.","PHP, Elixir, Scala, Groovy",3 - 4 years
